NAP,RVTV,OVF
2019-01-01,38,0
2019-01-02,232,0
2019-01-03,307,0
2019-01-04,352,0
2019-01-05,102,0
2019-01-06,107,0
2019-01-07,213,0
2019-01-08,246,0
2019-01-09,385,0
2019-01-10,372,0
2019-01-11,319,0
2019-01-12,143,0
2019-01-13,162,0
2019-01-14,371,0
2019-01-15,2944,0
2019-01-16,4717,0
2019-01-17,4308,0
2019-01-18,3111,0
2019-01-19,1748,0
2019-01-20,1558,0
2019-01-21,3633,0
2019-01-22,4361,0
2019-01-23,3294,0
2019-01-24,3097,0
2019-01-25,2237,0
2019-01-26,1027,0
2019-01-27,1023,0
2019-01-28,2279,0
2019-01-29,2156,0
2019-01-30,2146,0
2019-01-31,1753,0
2019-02-01,1287,0
2019-02-02,440,0
2019-02-03,383,0
2019-02-04,1028,0
2019-02-05,1208,0
2019-02-06,1303,0
2019-02-07,962,0
2019-02-08,617,0
2019-02-09,442,0
2019-02-10,393,0
2019-02-11,998,0
2019-02-12,1019,0
2019-02-13,968,0
2019-02-14,945,0
2019-02-15,558,0
2019-02-16,275,0
2019-02-17,345,0
2019-02-18,663,0
2019-02-19,877,0
2019-02-20,951,0
2019-02-21,860,0
2019-02-22,734,0
2019-02-23,382,0
2019-02-24,429,0
2019-02-25,1096,0
2019-02-26,1138,0
2019-02-27,1331,0
2019-02-28,931,0
2019-03-01,425,0
2019-03-02,113,0
2019-03-03,112,0
2019-03-04,518,0
2019-03-05,805,0
2019-03-06,728,0
2019-03-07,638,0
2019-03-08,522,0
2019-03-09,186,0
2019-03-10,183,0
2019-03-11,787,0
2019-03-12,853,0
2019-03-13,781,0
2019-03-14,634,0
2019-03-15,346,0
2019-03-16,216,0
2019-03-17,158,0
2019-03-18,690,0
2019-03-19,949,0
2019-03-20,920,0
2019-03-21,866,0
2019-03-22,639,0
2019-03-23,222,0
2019-03-24,230,0
2019-03-25,917,0
2019-03-26,1261,0
2019-03-27,1245,0
2019-03-28,1251,0
2019-03-29,1007,0
2019-03-30,332,0
2019-03-31,264,0
2019-04-01,308,0
2019-04-02,227,0
2019-04-03,232,0
2019-04-04,296,0
2019-04-05,149,0
2019-04-06,87,0
2019-04-07,87,0
2019-04-08,224,0
2019-04-09,374,0
2019-04-10,253,0
2019-04-11,304,0
2019-04-12,227,0
2019-04-13,110,0
2019-04-14,107,0
2019-04-15,730,0
2019-04-16,1064,0
2019-04-17,1352,0
2019-04-18,1021,0
2019-04-19,611,0
2019-04-20,412,0
2019-04-21,623,0
2019-04-22,458,0
2019-04-23,1040,0
2019-04-24,948,0
2019-04-25,1658,0
2019-04-26,1142,0
2019-04-27,370,0
2019-04-28,436,0
2019-04-29,1696,0
2019-04-30,1577,0
2019-05-01,405,0
2019-05-02,695,0
2019-05-03,859,0
2019-05-04,336,0
2019-05-05,345,0
2019-05-06,1034,0
2019-05-07,1210,0
2019-05-08,1070,0
2019-05-09,1119,0
2019-05-10,924,0
2019-05-11,410,0
2019-05-12,389,0
2019-05-13,1065,0
2019-05-14,1104,0
2019-05-15,908,0
2019-05-16,854,0
2019-05-17,643,0
2019-05-18,350,0
2019-05-19,323,0
2019-05-20,870,0
2019-05-21,809,0
2019-05-22,839,0
2019-05-23,671,0
2019-05-24,509,0
2019-05-25,237,0
2019-05-26,368,0
2019-05-27,782,0
2019-05-28,675,0
2019-05-29,526,0
2019-05-30,444,0
2019-05-31,352,0
2019-06-01,75,0
2019-06-02,62,0
2019-06-03,247,0
2019-06-04,255,0
2019-06-05,250,0
2019-06-06,219,0
2019-06-07,143,0
2019-06-08,147,0
2019-06-09,81,0
2019-06-10,93,0
2019-06-11,241,0
2019-06-12,306,0
2019-06-13,342,0
2019-06-14,269,0
2019-06-15,91,0
2019-06-16,71,0
2019-06-17,339,0
2019-06-18,279,0
2019-06-19,215,0
2019-06-20,248,0
2019-06-21,179,1
2019-06-22,71,1
2019-06-23,77,4
2019-06-24,217,1
2019-06-25,211,2
2019-06-26,255,1
2019-06-27,243,2
2019-06-28,227,2
2019-06-29,50,2
2019-06-30,73,2
2019-07-01,185,19
2019-07-02,128,12
2019-07-03,171,21
2019-07-04,197,14
2019-07-05,135,10
2019-07-06,66,10
2019-07-07,74,10
2019-07-08,246,15
2019-07-09,220,4
2019-07-10,223,11
2019-07-11,176,7
2019-07-12,171,3
2019-07-13,81,3
2019-07-14,85,3
2019-07-15,280,11
2019-07-16,200,20
2019-07-17,206,14
2019-07-18,231,6
2019-07-19,191,7
2019-07-20,141,7
2019-07-21,103,1
2019-07-22,180,4
2019-07-23,226,1
2019-07-24,198,2
2019-07-25,190,5
2019-07-26,145,7
2019-07-27,139,7
2019-07-28,94,7
2019-07-29,143,12
2019-07-30,187,6
2019-07-31,162,11
2019-08-01,150,7
2019-08-02,106,5
2019-08-03,54,5
2019-08-04,49,2
2019-08-05,102,9
2019-08-06,117,6
2019-08-07,143,7
2019-08-08,83,9
2019-08-09,110,8
2019-08-10,68,9
2019-08-11,32,9
2019-08-12,92,1
2019-08-13,91,6
2019-08-14,96,18
2019-08-15,53,11
2019-08-16,43,8
2019-08-17,28,8
2019-08-18,16,8
2019-08-19,46,3
2019-08-20,24,2
2019-08-21,54,10
2019-08-22,45,3
2019-08-23,34,10
2019-08-24,13,10
2019-08-25,14,1
2019-08-26,61,13
2019-08-27,551,14
2019-08-28,500,14
2019-08-29,401,6
2019-08-30,267,7
2019-08-31,138,7
2019-09-01,121,1
2019-09-02,241,20
2019-09-03,319,54
2019-09-04,372,41
2019-09-05,170,27
2019-09-06,215,42
2019-09-07,68,42
2019-09-08,69,2
2019-09-09,184,108
2019-09-10,234,83
2019-09-11,241,134
2019-09-12,157,72
2019-09-13,131,38
2019-09-14,61,4
2019-09-15,63,4
2019-09-16,116,68
2019-09-17,99,88
2019-09-18,106,68
2019-09-19,114,75
2019-09-20,38,41
2019-09-21,29,4
2019-09-22,15,2
2019-09-23,59,47
2019-09-24,82,34
2019-09-25,119,55
2019-09-26,57,50
2019-09-27,48,54
2019-09-28,35,1
2019-09-29,35,5
2019-09-30,78,21
2019-10-01,70,37
2019-10-02,49,44
2019-10-03,48,44
2019-10-04,36,16
2019-10-05,13,2
2019-10-06,10,1
2019-10-07,56,27
2019-10-08,60,31
2019-10-09,58,44
2019-10-10,89,29
2019-10-11,121,42
2019-10-12,35,1
2019-10-13,50,1
2019-10-14,70,36
2019-10-15,94,40
2019-10-16,128,45
2019-10-17,107,29
2019-10-18,32,49
2019-10-19,18,1
2019-10-20,9,4
2019-10-21,50,25
2019-10-22,30,50
2019-10-23,58,4
2019-10-24,24,31
2019-10-25,25,19
2019-10-26,4,1
2019-10-27,9,3
2019-10-28,30,22
2019-10-29,49,55
2019-10-30,31,47
2019-10-31,31,40
2019-11-01,17,3
2019-11-02,7,3
2019-11-03,42,6
2019-11-04,53,34
2019-11-05,19,68
2019-11-06,24,26
2019-11-07,22,43
2019-11-08,20,44
2019-11-09,8,2
2019-11-10,12,14
2019-11-11,31,48
2019-11-12,14,23
2019-11-13,34,68
2019-11-14,36,65
2019-11-15,11,53
2019-11-16,9,2
2019-11-17,14,12
2019-11-18,148,44
2019-11-19,199,75
2019-11-20,227,70
2019-11-21,296,60
2019-11-22,326,38
2019-11-23,192,8
2019-11-24,251,12
2019-11-25,425,91
2019-11-26,439,86
2019-11-27,382,70
2019-11-28,416,84
2019-11-29,212,58
2019-11-30,114,21
2019-12-01,82,21
2019-12-02,257,21
2019-12-03,312,21
2019-12-04,239,21
2019-12-05,194,21
2019-12-06,213,21
2019-12-07,139,21
2019-12-08,133,21
2019-12-09,315,21
2019-12-10,367,21
2019-12-11,255,21
2019-12-12,164,21
2019-12-13,181,21
2019-12-14,116,21
2019-12-15,36,21
2019-12-16,197,21
2019-12-17,164,21
2019-12-18,170,21
2019-12-19,98,21
2019-12-20,90,21
2019-12-21,15,21
2019-12-22,36,21
2019-12-23,54,21
2019-12-24,18,21
2019-12-25,34,21
2019-12-26,22,21
2019-12-27,25,21
2019-12-28,24,21
2019-12-29,52,21
2019-12-30,52,21
2019-12-31,52,21
